"no.","name","feet","met","grid ref","area","&sum;","trips"
"1","scafell pike","3209","978","ny215072","s fells","8","{1|2|3|4|5|6}"
"2","sca fell","3163","964","ny206064","s fells","6","{1|2|3|4}"
"3","helvellyn","3117","950","ny342151","e fells","4","1"
"4","skiddaw","3054","931","ny260290","n fells","3","1"
"5","great end","2986","910","ny226083","s fells","9","{1|2|3|4|5|6|7}"
"6","bow fell","2959","902","ny244064","s fells","6","{1|2|3|4}"
"7","great gable","2949","899","ny211103","w fells","5","{1|2|3}"
"8","pillar","2927","892","ny171121","w fells","9","{1|2|3|4}"
"9","nethermost pike","2923","891","ny343142","e fells","4","1"
"10","catstye cam","2920","890","ny348158","e fells","2","-"
"11","esk pike","2904","885","ny236075","s fells","8","{1|2|3|4|5}"
"12","raise","2897","883","ny342174","e fells","5","{1|2}"
"13","fairfield","2864","873","ny358117","e fells","4","1"
"14","blencathra","2848","868","ny323277","n fells","4","{1|2}"
"15","skiddaw little man","2838","865","ny266277","n fells","3","1"
"16","white side","2831","863","ny337166","e fells","4","1"
"17","crinkle crags","2818","859","ny248048","s fells","5","{1|2|3|4}"
"18","dollywaggon pike","2815","858","ny346130","e fells","4","1"
"19","great dodd","2812","857","ny341205","e fells","5","{1|2}"
"20","grasmoor","2795","852","ny174203","nw fells","4","{1|2}"
"21","stybarrow dodd","2766","843","ny343189","e fells","5","{1|2}"
"22","st sunday crag","2759","841","ny369134","e fells","3","1"
"23","scoat fell","2759","841","ny159113","w fells","9","{1|2|3|4|5|6}"
"24","crag hill (eel crag)","2753","839","ny192203","nw fells","5","{1|2}"
"25","high street","2717","828","ny440110","far e fells","11","{1|2|3|4|5|6|7}"
"26","red pike (wasdale)","2710","826","ny165106","w fells","4","{1|2}"
"27","hart crag","2697","822","ny368112","e fells","5","{1|2}"
"28","steeple","2687","819","ny157116","w fells","3","1"
"29","lingmell","2648","807","ny209081","s fells","3","{1|2}"
"30","high stile","2648","807","ny170148","w fells","5","{1|2|3}"
"31","the old man of coniston","2635","803","sd272978","s fells","6","{1|2|3|4}"
"32","high raise (far e fells)","2631","802","ny448134","far e fells","6","{1|2|3|4}"
"33","swirl how","2631","802","ny272005","s fells","5","{1|2|3|4}"
"34","kirk fell","2631","802","ny194104","w fells","4","{1|2}"
"35","green gable","2628","801","ny214107","w fells","4","{1|2}"
"36","haycock","2615","797","ny144107","w fells","8","{1|2|3|4|5|6}"
"37","brim fell","2612","796","sd270985","s fells","5","{1|2|3|4}"
"38","dove crag","2598","792","ny374104","e fells","5","{1|2}"
"39","rampsgill head","2598","792","ny442128","far e fells","6","{1|2|3|4}"
"40","grisedale pike","2595","791","ny198225","nw fells","4","{1|2}"
"41","watson's dodd","2589","789","ny335195","e fells","4","1"
"42","great carrs","2575","785","ny270008","s fells","4","{1|2|3}"
"43","allen crags","2575","785","ny236085","s fells","12","{1|2|3|4|5|6|7|8|9}"
"44","thornthwaite crag","2572","784","ny431100","far e fells","7","{1|2|3|4}"
"45","glaramara","2569","783","ny246104","s fells","9","{1|2|3|4|5|6}"
"46","kidsty pike","2559","780","ny447125","far e fells","4","{1|2|3}"
"47","dow crag","2552","778","sd262977","s fells","3","1"
"48","harter fell (far e fells)","2552","778","ny459093","far e fells","7","{1|2|3|4}"
"49","red screes","2546","776","ny396087","e fells","3","1"
"50","grey friar","2536","773","ny259003","s fells","3","{1|2}"
"51","sail","2536","773","ny198202","nw fells","3","{1|2}"
"52","wandope","2533","772","ny188197","nw fells","3","1"
"53","hopegill head","2526","770","ny185221","nw fells","5","1"
"54","great rigg","2513","766","ny355103","e fells","2","-"
"55","stony cove pike (caudale moor)","2503","763","ny417100","far e fells","4","{1|2}"
"56","wetherlam","2503","763","ny288011","s fells","4","{1|2|3}"
"57","slight side","2500","762","ny210050","s fells","2","1"
"58","high raise (c fells)","2500","762","ny280095","c fells","8","{1|2|3|4|5|6|7}"
"59","mardale ill bell","2493","760","ny448101","far e fells","5","{1|2|3|3}"
"60","ill bell","2484","757","ny436077","far e fells","3","{1|2}"
"61","hart side","2480","756","ny359197","e fells","3","-"
"62","red pike (buttermere)","2477","755","ny160154","w fells","5","{1|2|3}"
"63","dale head","2470","753","ny223153","nw fells","8","{1|2|3|4|5|6}"
"64","carl side","2448","746","ny255280","n fells","2","1"
"65","high crag","2441","744","ny180140","w fells","5","{1|2|3}"
"66","the knott","2425","739","ny437127","far e fells","2","1"
"67","robinson","2418","737","ny201168","nw fells","6","{1|2|3|4}"
"68","sergeant man","2415","736","ny286089","c fells","4","{1|2|3}"
